"","ID_Year","Family","BlockDrought","Region","Site.Lat","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance","Period"
"3","S02_2011","9","3_D","3.South","32.9_S02",101,412.922755741127,0.108863636363636,18.82790372,0.713778264333333,"Pre"
"7","S02_2011","9","3_W","3.South","32.9_S02",105,328.181818181818,0.146666666666667,15.0942039033333,0.362407558,"Pre"
"8","S02_2011","9","4_W","3.South","32.9_S02",112,327.741935483871,0.166071428571429,13.1892771666667,0.738430616,"Pre"
"11","S02_2011","10","3_D","3.South","32.9_S02",88,303.563535911602,0.150833333333333,9.51141342033333,0.422355910333333,"Pre"
"12","S02_2011","10","4_D","3.South","32.9_S02",88,178.434782608696,0.273809523809524,8.444987319,0.118564457666667,"Pre"
"15","S02_2011","10","3_W","3.South","32.9_S02",100,319.152249134948,0.152105263157895,12.6103889666667,0.647038504666667,"Pre"
"20","S02_2011","11","4_D","3.South","32.9_S02",90,206.759776536313,0.255714285714286,5.51082710333333,0.059938492,"Pre"
"23","S02_2011","11","3_W","3.South","32.9_S02",100,255.836431226766,0.173548387096774,14.8146292533333,0.790123583,"Pre"
"24","S02_2011","11","4_W","3.South","32.9_S02",98,202.688927943761,0.2276,16.5342221066667,0.615800493,"Pre"
"27","S02_2011","12","3_D","3.South","32.9_S02",87,215.697115384615,0.1664,17.9292094133333,0.680430159,"Pre"
"28","S02_2011","12","4_D","3.South","32.9_S02",85,202.230347349177,0.237826086956522,11.1218496533333,0.346600637,"Pre"
"31","S02_2011","12","3_W","3.South","32.9_S02",96,254.375,0.16,20.6254255933333,0.865667218333333,"Pre"
"35","S02_2011","13","3_D","3.South","32.9_S02",95,202.832080200501,0.16625,19.8222927166667,0.703166891,"Pre"
"36","S02_2011","13","4_D","3.South","32.9_S02",86,218.379888268156,0.210588235294118,13.39008664,0.325958237,"Pre"
"39","S02_2011","13","3_W","3.South","32.9_S02",90,241.332335329341,0.185555555555556,5.89626660866667,0.15456621,"Pre"
"43","S02_2011","14","3_D","3.South","32.9_S02",93,206.691505216095,0.186388888888889,10.1519467333333,0.632363474,"Pre"
