"","ID_Year","Region","Site.Lat","Drought","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance","Period"
"3","S02_2011","3.South","32.9_S02","D",101,412.922755741127,0.108863636363636,18.82790372,0.713778264333333,"Pre"
"7","S02_2011","3.South","32.9_S02","W",105,328.181818181818,0.146666666666667,15.0942039033333,0.362407558,"Pre"
"8","S02_2011","3.South","32.9_S02","W",112,327.741935483871,0.166071428571429,13.1892771666667,0.738430616,"Pre"
"11","S02_2011","3.South","32.9_S02","D",88,303.563535911602,0.150833333333333,9.51141342033333,0.422355910333333,"Pre"
"12","S02_2011","3.South","32.9_S02","D",88,178.434782608696,0.273809523809524,8.444987319,0.118564457666667,"Pre"
"15","S02_2011","3.South","32.9_S02","W",100,319.152249134948,0.152105263157895,12.6103889666667,0.647038504666667,"Pre"
"20","S02_2011","3.South","32.9_S02","D",90,206.759776536313,0.255714285714286,5.51082710333333,0.059938492,"Pre"
"23","S02_2011","3.South","32.9_S02","W",100,255.836431226766,0.173548387096774,14.8146292533333,0.790123583,"Pre"
"24","S02_2011","3.South","32.9_S02","W",98,202.688927943761,0.2276,16.5342221066667,0.615800493,"Pre"
"27","S02_2011","3.South","32.9_S02","D",87,215.697115384615,0.1664,17.9292094133333,0.680430159,"Pre"
"28","S02_2011","3.South","32.9_S02","D",85,202.230347349177,0.237826086956522,11.1218496533333,0.346600637,"Pre"
"31","S02_2011","3.South","32.9_S02","W",96,254.375,0.16,20.6254255933333,0.865667218333333,"Pre"
"35","S02_2011","3.South","32.9_S02","D",95,202.832080200501,0.16625,19.8222927166667,0.703166891,"Pre"
"36","S02_2011","3.South","32.9_S02","D",86,218.379888268156,0.210588235294118,13.39008664,0.325958237,"Pre"
"39","S02_2011","3.South","32.9_S02","W",90,241.332335329341,0.185555555555556,5.89626660866667,0.15456621,"Pre"
"43","S02_2011","3.South","32.9_S02","D",93,206.691505216095,0.186388888888889,10.1519467333333,0.632363474,"Pre"
"44","S02_2011","3.South","32.9_S02","D",103,269.281553398058,0.177586206896552,11.2046988633333,0.385091616,"Pre"
"47","S02_2011","3.South","32.9_S02","W",106,220.41166380789,0.188064516129032,15.4205208866667,0.701771966333333,"Pre"
"51","S02_2011","3.South","32.9_S02","D",95,273.55421686747,0.146470588235294,15.9662658466667,0.659850959,"Pre"
"52","S02_2011","3.South","32.9_S02","D",95,247.111486486486,0.204137931034483,8.58640941466667,0.499844164666667,"Pre"
"55","S02_2011","3.South","32.9_S02","W",96,164.618608549874,0.253829787234043,5.166622431,0.064552591,"Pre"
"59","S07_2011","3.South","34.3_S07","D",109,432.196078431373,0.121428571428571,15.7981180566667,0.688685401,"Pre"
"60","S07_2011","3.South","34.3_S07","D",102,272.030905077263,0.18875,9.967865988,0.507880335666667,"Pre"
"63","S07_2011","3.South","34.3_S07","W",94,173.653846153846,0.173333333333333,2.619038129,0.19484787,"Pre"
"64","S07_2011","3.South","34.3_S07","W",86,163.17254174397,0.283684210526316,5.58999995466667,0.238147203333333,"Pre"
"67","S07_2011","3.South","34.3_S07","D",91,347.069486404834,0.137916666666667,11.7204955733333,0.667972738666667,"Pre"
"68","S07_2011","3.South","34.3_S07","D",101,337.537091988131,0.132156862745098,6.27706261033333,0.046084932,"Pre"
"71","S07_2011","3.South","34.3_S07","W",85,203.236363636364,0.211538461538462,7.67183907833333,0.187548924333333,"Pre"
"72","S07_2011","3.South","34.3_S07","W",85,232.472222222222,0.211764705882353,11.6615800066667,0.346397868333333,"Pre"
"75","S07_2011","3.South","34.3_S07","D",86,309.130434782609,0.153333333333333,14.6101941333333,0.678606698,"Pre"
"76","S07_2011","3.South","34.3_S07","D",86,254.339622641509,0.212,8.80067403,0.319533044,"Pre"
"79","S07_2011","3.South","34.3_S07","W",83,200.434782608696,0.19,11.0915891733333,0.374243064333333,"Pre"
"80","S07_2011","3.South","34.3_S07","W",86,191.05,0.260869565217391,7.197080991,0.630356924333333,"Pre"
"83","S07_2011","3.South","34.3_S07","D",96,254.207547169811,0.189285714285714,10.1750783936667,0.377104936333333,"Pre"
