"","ID_Year","Site","Year","Region"
"1","S02_2011","S02",2011,"South"
"2","S02_2012","S02",2012,"South"
"3","S02_2013","S02",2013,"South"
"4","S02_2014","S02",2014,"South"
"5","S07_2011","S07",2011,"South"
"6","S07_2014","S07",2014,"South"
"7","S08_2011","S08",2011,"Center"
"8","S08_2012","S08",2012,"Center"
"9","S08_2013","S08",2013,"Center"
"10","S10_2011","S10",2011,"Center"
"11","S10_2012","S10",2012,"Center"
"12","S10_2013","S10",2013,"Center"
"13","S10_2014","S10",2014,"Center"
"14","S15_2010","S15",2010,"North"
"15","S15_2012","S15",2012,"North"
"16","S15_2014","S15",2014,"North"
"17","S15_2015","S15",2015,"North"
"18","S16_2010","S16",2010,"North"
"19","S16_2012","S16",2012,"North"
"20","S16_2013","S16",2013,"North"
"21","S16_2014","S16",2014,"North"
"22","S16_2015","S16",2015,"North"
"23","S16_2016","S16",2016,"North"
"24","S17_2011","S17",2011,"North"
"25","S17_2014","S17",2014,"North"
"26","S17_2015","S17",2015,"North"
"27","S18_2010","S18",2010,"Center"
"28","S18_2012","S18",2012,"Center"
"29","S18_2013","S18",2013,"Center"
"30","S18_2014","S18",2014,"Center"
"31","S29_2010","S29",2010,"Center"
"32","S29_2013","S29",2013,"Center"
"33","S29_2014","S29",2014,"Center"
"34","S29_2015","S29",2015,"Center"
"35","S32_2010","S32",2010,"Center"
"36","S32_2012","S32",2012,"Center"
"37","S32_2014","S32",2014,"Center"
"38","S36_2011","S36",2011,"North"
"39","S36_2012","S36",2012,"North"
"40","S36_2014","S36",2014,"North"
"41","S36_2015","S36",2015,"North"
